ID,Sex,Age,Address,Family_size,Parent_cohabitation_status,Mother_education_level ,Father_education_level,Mother_job,Father_job,Guardian,Traveltime,Studytime,Failures,School_support,Family_support,Parent_aid,Activities,Nursery_attend,Access_internet,In_Romantic_relationship,Family_relative,Freetime,Goout,Health,Absences,State,Race,Math_score,Reading_score,Writing_score,Attendance_rate,Suspensions,Expulsions,Teacher_support,Counseling,Social_worker_visits,Parental_involvement
ID-371,Female,17,Urban,greater than 3,Together,primary (5th-9th grade),secondary,at_home,at_home,mother,3,2,1,no,no,no,yes,yes,no,yes,2,2,4,good,89,Florida,Asian,21,33,36,72.27,0,0,yes,no,2,low
ID-1352,Female,18,Rural,Less or equal to 3,Together,primary (5th-9th grade),higher education,teacher,health,other,2,3,2,no,yes,no,no,yes,yes,yes,2,1,5,poor,77,California,Asian,20,52,27,79.03,0,1,no,no,4,low
ID-1924,Female,19,Rural,Less or equal to 3,Apart,higher education,none,services,at_home,other,3,4,1,no,yes,yes,no,no,yes,no,5,1,1,good,56,Texas,Other,14,2,10,90.76,0,1,yes,yes,1,low
ID-3722,Female,17,Rural,greater than 3,Together,primary (5th-9th grade),none,at_home,health,father,1,4,1,no,yes,no,yes,no,no,yes,3,4,2,peak,58,California,White,48,86,69,88.66,1,0,yes,no,3,low
ID-3463,Female,15,Urban,greater than 3,Together,higher education,primary (4th grade),teacher,other,father,2,4,1,yes,yes,no,no,yes,yes,yes,4,2,2,fair,50,Florida,White,78,1,26,78.3,0,0,yes,no,2,low
ID-1388,Female,18,Rural,greater than 3,Together,primary (5th-9th grade),higher education,services,health,mother,1,3,3,yes,no,no,yes,no,yes,yes,5,4,2,peak,22,California,White,49,59,41,93.16,2,1,no,no,3,low
ID-214,Female,19,Urban,greater than 3,Apart,higher education,primary (5th-9th grade),at_home,at_home,father,4,3,4,yes,yes,no,yes,no,no,no,3,3,4,fair,49,California,Hispanic,46,45,74,98.77,1,0,yes,yes,0,high
ID-3217,Male,15,Urban,greater than 3,Together,primary (5th-9th grade),primary (4th grade),other,services,mother,1,1,4,no,yes,no,yes,no,no,yes,5,4,1,peak,57,Texas,Asian,78,14,82,77.58,2,0,no,no,1,low
ID-325,Female,15,Urban,greater than 3,Together,higher education,none,other,at_home,other,2,4,2,yes,yes,no,yes,no,yes,yes,2,4,5,peak,24,Florida,African American,68,98,75,93.6,1,1,yes,no,0,medium
ID-3024,Male,15,Urban,greater than 3,Apart,primary (4th grade),primary (5th-9th grade),teacher,at_home,mother,3,4,4,yes,yes,yes,no,yes,no,yes,2,3,4,peak,81,Florida,Other,40,6,80,93.59,0,0,no,no,3,medium
ID-2709,Male,15,Urban,greater than 3,Apart,higher education,secondary,at_home,health,father,4,3,4,no,yes,yes,no,yes,no,no,4,4,5,fair,29,Texas,Asian,83,60,7,86.03,3,0,yes,no,4,low
ID-279,Male,17,Rural,greater than 3,Together,higher education,higher education,at_home,teacher,other,3,2,2,no,yes,no,no,yes,no,no,5,5,2,peak,3,California,White,21,34,58,70.3,0,1,no,no,2,high
ID-4954,Male,17,Urban,greater than 3,Together,higher education,primary (4th grade),services,at_home,mother,1,2,3,yes,yes,no,no,no,no,yes,5,2,5,fair,37,Florida,Other,91,34,59,78.83,3,0,no,no,2,high
ID-4853,Male,17,Urban,greater than 3,Apart,secondary,primary (5th-9th grade),health,at_home,father,3,2,1,no,no,yes,yes,no,yes,no,2,3,2,excellent,20,Texas,African American,90,68,94,71.17,0,0,yes,yes,4,medium
ID-3610,Male,19,Urban,greater than 3,Apart,higher education,none,teacher,at_home,father,3,2,4,no,no,yes,no,yes,no,yes,5,2,4,peak,46,California,Asian,76,48,61,82.26,1,1,no,no,2,high
ID-584,Male,19,Urban,greater than 3,Together,primary (4th grade),primary (4th grade),services,services,mother,4,2,4,no,yes,no,no,yes,yes,no,1,2,2,fair,3,Florida,African American,61,82,18,87.07,2,0,no,no,1,low
ID-1659,Male,19,Rural,greater than 3,Together,none,primary (4th grade),teacher,other,father,1,4,4,yes,no,yes,no,no,yes,yes,1,3,4,peak,54,Florida,Asian,77,94,42,83.13,2,0,yes,yes,4,medium
ID-4368,Male,16,Rural,greater than 3,Apart,higher education,none,services,services,father,2,1,2,yes,no,yes,no,no,no,no,3,4,2,good,35,Texas,Asian,9,1,59,90.82,3,1,yes,no,3,high
ID-3523,Male,19,Rural,greater than 3,Together,higher education,primary (5th-9th grade),health,at_home,other,2,4,4,yes,no,yes,yes,yes,yes,no,4,3,2,peak,14,Texas,White,73,33,50,77.05,0,0,yes,yes,3,low
